match_id,competition,minute,game_phase,formation,from_pos,to_pos,pass_length,pass_angle,pitch_x,pitch_y,pass_outcome
3825895,La Liga 2015/16,11,EARLY_MINUTES,F_4_4_2,CF,CDM,6.8476,-2.0736,63.5,59.5,success
3825895,La Liga 2015/16,11,EARLY_MINUTES,F_4_4_2,RM,CF,19.0515,0.0736,60.2,53.5,fail
3825895,La Liga 2015/16,11,EARLY_MINUTES,F_3_5_2,LWB,CF,50.3294,0.437,48.5,1.6,fail
3825895,La Liga 2015/16,11,EARLY_MINUTES,F_4_4_2,CF,CF,6.8308,0.3125,77.0,33.3,fail
3825895,La Liga 2015/16,12,EARLY_MINUTES,F_3_5_2,CF,CF,19.4373,1.7833,78.1,30.5,success
3825895,La Liga 2015/16,13,EARLY_MINUTES,F_3_5_2,CDM,RWB,11.2872,1.6952,35.3,58.1,success
3825895,La Liga 2015/16,13,EARLY_MINUTES,F_4_4_2,LM,LB,6.3632,2.6146,55.9,8.4,success
3825895,La Liga 2015/16,16,CLOSING_HALF,F_3_5_2,CF,CF,12.7059,-1.079,67.8,66.8,success
3825895,La Liga 2015/16,16,CLOSING_HALF,F_4_4_2,RM,CDM,8.8459,-1.6727,43.6,27.0,success
3825895,La Liga 2015/16,16,CLOSING_HALF,F_4_4_2,CF,CDM,11.5261,1.7188,71.3,52.6,success
3825895,La Liga 2015/16,17,CLOSING_HALF,F_4_4_2,CB,CDM,9.1788,1.0584,56.5,16.5,success
3825895,La Liga 2015/16,17,CLOSING_HALF,F_3_5_2,RWB,CB,13.9345,-2.3308,50.1,71.9,success
3825895,La Liga 2015/16,17,CLOSING_HALF,F_3_5_2,CM,CF,2.9,0.8098,66.9,58.4,fail
3825895,La Liga 2015/16,17,CLOSING_HALF,F_4_4_2,CB,CDM,6.8264,-2.1263,48.6,49.9,success
3825895,La Liga 2015/16,17,CLOSING_HALF,F_4_4_2,CDM,CB,11.2614,-2.9721,46.5,41.9,success
3825895,La Liga 2015/16,18,CLOSING_HALF,F_4_4_2,RM,CDM,9.1066,-1.0285,54.1,46.4,success
3825895,La Liga 2015/16,19,CLOSING_HALF,F_4_4_2,CB,CF,19.0045,0.2067,27.9,61.7,success
