name,team,league,position,role,overall,minutes,90s
Nicolò Fagioli,Fiorentina,it Serie A,MF,Box-to-box Midfielder,61.6,962,10.7
Mattia De Sciglio,Empoli,it Serie A,DF,Ball-playing Centre-back,61.5,769,8.5
Edoardo Bove,Fiorentina,it Serie A,MF,Ball-winning Midfielder,61.5,836,9.3
Conor Bradley,Liverpool,eng Premier League,DF,Box-to-box Midfielder,61.5,754,8.4
Eric Smith,St. Pauli,de Bundesliga,DF,Defensive Midfielder,61.5,2827,31.4
Julio Enciso,Ipswich Town,eng Premier League,MF,Wide Midfielder / Winger,61.5,869,9.7
Samuele Ricci,Torino,it Serie A,MF,Defensive Midfielder,61.4,2825,31.4
Urko González,Espanyol,es La Liga,MF,Defensive Midfielder,61.3,1374,15.3
Rafa Mir,Valencia,es La Liga,FW,Target Man / Physical Striker,61.3,753,8.4
Takumi Minamino,Monaco,fr Ligue 1,MF,Wide Midfielder / Winger,61.3,2231,24.8
Amir Rrahmani,Napoli,it Serie A,DF,Defensive Centre-back,61.2,3406,37.8
Neal Maupay,Marseille,fr Ligue 1,FW,Target Man / Physical Striker,61.2,1042,11.6
Silvan Widmer,Mainz 05,de Bundesliga,DF,Defensive Midfielder,61.2,504,5.6
Nordi Mukiele,Leverkusen,de Bundesliga,DF,Ball-winning Midfielder,61.0,899,10.0
Ismaila Sarr,Crystal Palace,eng Premier League,MF,Wide Midfielder / Winger,61.0,2711,30.1
Johan Mojica,Mallorca,es La Liga,DF,Fullback / Wing-back,60.9,2755,30.6
Pedro Pereira,Monza,it Serie A,DF,Defensive Midfielder,60.8,2665,29.6
Hugo Larsson,Eint Frankfurt,de Bundesliga,MF,Ball-winning Midfielder,60.8,2393,26.6
Carlos Baleba,Brighton,eng Premier League,MF,Ball-winning Midfielder,60.7,2661,29.6
Lukas Ullrich,Gladbach,de Bundesliga,DF,Defensive Midfielder,60.7,1903,21.1
David Brooks,Bournemouth,eng Premier League,FW,Wide Midfielder / Winger,60.7,960,10.7
İlkay Gündoğan,Manchester City,eng Premier League,MF,Box-to-box Midfielder,60.7,2223,24.7
Philipp Sander,Gladbach,de Bundesliga,MF,Ball-winning Midfielder,60.6,1400,15.6
Yvan Neyou,Leganés,es La Liga,MF,Defensive Midfielder,60.6,2312,25.7
Nathan Collins,Brentford,eng Premier League,DF,Defensive Centre-back,60.6,3420,38.0
Deiver Machado,Lens,fr Ligue 1,DF,Fullback / Wing-back,60.4,1805,20.1
Daniel Svensson,Dortmund,de Bundesliga,DF,Fullback / Wing-back,60.4,781,8.7
Yukinari Sugawara,Southampton,eng Premier League,DF,Fullback / Wing-back,60.4,1557,17.3
Diogo Leite,Union Berlin,de Bundesliga,DF,Defensive Centre-back,60.3,2546,28.3
Christian Gytkjær,Venezia,it Serie A,FW,Target Man / Physical Striker,60.3,754,8.4
Mikkel Damsgaard,Brentford,eng Premier League,MF,Box-to-box Midfielder,60.3,2911,32.3
Denis Vavro,Wolfsburg,de Bundesliga,DF,Defensive Centre-back,60.2,2461,27.3
Kevin Danso,Lens,fr Ligue 1,DF,Defensive Centre-back,60.2,1080,12.0
Pedri,Barcelona,es La Liga,MF,Box-to-box Midfielder,60.2,2879,32.0
Adam Aznou,Valladolid,es La Liga,DF,Defensive Midfielder,60.2,876,9.7
João Pedro,Brighton,eng Premier League,FW,Wide Midfielder / Winger,60.0,1948,21.6
Domingos André Ribeiro Almeida,Valencia,es La Liga,MF,Box-to-box Midfielder,60.0,1977,22.0
Andrej Kramarić,Hoffenheim,de Bundesliga,MF,Wide Midfielder / Winger,60.0,2767,30.7
Alberto Moreno,Como,it Serie A,DF,Defensive Midfielder,60.0,1727,19.2
Pablo Fornals,Betis,es La Liga,MF,Box-to-box Midfielder,59.9,1827,20.3
Piotr Zieliński,Inter,it Serie A,MF,Box-to-box Midfielder,59.9,980,10.9
Tomás Conechny,Alavés,es La Liga,FW,Wide Midfielder / Winger,59.9,847,9.4
Éderson,Atalanta,it Serie A,MF,Box-to-box Midfielder,59.9,2881,32.0
Beñat Turrientes,Real Sociedad,es La Liga,MF,Defensive Midfielder,59.9,942,10.5
Elisha Owusu,Auxerre,fr Ligue 1,MF,Defensive Midfielder,59.9,2344,26.0
Cameron Archer,Southampton,eng Premier League,FW,Target Man / Physical Striker,59.8,1441,16.0
Leonardo Spinazzola,Napoli,it Serie A,DF,Fullback / Wing-back,59.7,1517,16.9
Angel Gomes,Lille,fr Ligue 1,MF,Box-to-box Midfielder,59.7,736,8.2
Weston McKennie,Juventus,it Serie A,MF,Ball-winning Midfielder,59.7,2310,25.7
Sandro Ramírez,Las Palmas,es La Liga,FW,Wide Midfielder / Winger,59.7,2034,22.6
Álex Berenguer,Athletic Club,es La Liga,FW,Wide Midfielder / Winger,59.7,2339,26.0
Hugo Magnetti,Brest,fr Ligue 1,MF,Defensive Midfielder,59.6,2323,25.8
Yassine Kechta,Le Havre,fr Ligue 1,MF,Ball-winning Midfielder,59.6,2096,23.3
Renato Tapia,Leganés,es La Liga,MF,Defensive Midfielder,59.5,2424,26.9
Douglas,Nantes,fr Ligue 1,MF,Ball-winning Midfielder,59.5,2307,25.6
Saša Lukić,Fulham,eng Premier League,MF,Defensive Midfielder,59.5,2344,26.0
Diogo Jota,Liverpool,eng Premier League,FW,Clinical Striker,59.5,1196,13.3
Dango Ouattara,Bournemouth,eng Premier League,FW,Wide Midfielder / Winger,59.4,2005,22.3
Marco Brescianini,Atalanta,it Serie A,MF,Wide Midfielder / Winger,59.4,991,11.0
Jordan Zemura,Udinese,it Serie A,DF,Fullback / Wing-back,59.3,1415,15.7
Óscar Mingueza,Celta Vigo,es La Liga,MF,Box-to-box Midfielder,59.3,2729,30.3
James Hill,Bournemouth,eng Premier League,DF,Defensive Midfielder,59.3,448,5.0
Lucas Da Cunha,Como,it Serie A,MF,Box-to-box Midfielder,59.2,2613,29.0
Scott McTominay,Napoli,it Serie A,MF,Wide Midfielder / Winger,59.2,2938,32.6
Isaac Palazón Camacho,Rayo Vallecano,es La Liga,MF,Wide Midfielder / Winger,59.2,2162,24.0
Ander Guevara,Alavés,es La Liga,MF,Defensive Midfielder,59.2,1947,21.6
John Yeboah,Venezia,it Serie A,FW,Wide Midfielder / Winger,59.1,1226,13.6
Alexander Bernhardsson,Holstein Kiel,de Bundesliga,FW,Wide Midfielder / Winger,59.1,1263,14.0
Giacomo Raspadori,Napoli,it Serie A,FW,Clinical Striker,59.1,1103,12.3
Francesco Zampano,Venezia,it Serie A,DF,Fullback / Wing-back,58.9,1639,18.2
Hakan Çalhanoğlu,Inter,it Serie A,MF,Box-to-box Midfielder,58.9,1879,20.9
Iñigo Martínez,Barcelona,es La Liga,DF,Defensive Centre-back,58.9,2490,27.7
Tosin Adarabioyo,Chelsea,eng Premier League,DF,Defensive Centre-back,58.8,1409,15.7
Matheus Cunha,Wolves,eng Premier League,MF,Creative Attacking Midfielder,58.8,2597,28.9
Iglesias,Getafe,es La Liga,DF,Defensive Midfielder,58.7,2888,32.1
Michael Olise,Bayern Munich,de Bundesliga,FW,Creative Attacking Midfielder,58.5,2334,25.9
Juan Cuadrado,Atalanta,it Serie A,DF,Box-to-box Midfielder,58.5,832,9.2
Álex Grimaldo,Leverkusen,de Bundesliga,DF,Box-to-box Midfielder,58.4,2636,29.3
Álvaro Pascual,Sevilla,es La Liga,FW,Target Man / Physical Striker,58.4,408,4.5
Jhoanner Chávez,Lens,fr Ligue 1,DF,Fullback / Wing-back,58.3,596,6.6
Nabil Bentaleb,Lille,fr Ligue 1,MF,Ball-winning Midfielder,58.3,329,3.7
Ibrahima Konaté,Liverpool,eng Premier League,DF,Defensive Centre-back,58.3,2560,28.4
Gianluca Mancini,Roma,it Serie A,DF,Defensive Centre-back,58.2,3143,34.9
Jan Paul van Hecke,Brighton,eng Premier League,DF,Defensive Centre-back,58.2,2958,32.9
Rémy Labeau Lascary,Lens,fr Ligue 1,FW,Wide Midfielder / Winger,58.2,637,7.1
Ben White,Arsenal,eng Premier League,DF,Defensive Midfielder,58.1,1198,13.3
Jamal Musiala,Bayern Munich,de Bundesliga,MF,Creative Attacking Midfielder,58.1,1798,20.0
Yann Gboho,Toulouse,fr Ligue 1,MF,Wide Midfielder / Winger,58.1,2333,25.9
Umut Tohumcu,Hoffenheim,de Bundesliga,MF,Defensive Midfielder,58.1,375,4.2
Dani Olmo,Barcelona,es La Liga,MF,Creative Attacking Midfielder,58.1,1212,13.5
James Ward-Prowse,West Ham,eng Premier League,MF,Ball-winning Midfielder,58.1,1039,11.5
Benedikt Pichler,Holstein Kiel,de Bundesliga,FW,Target Man / Physical Striker,58.0,785,8.7
Frank Onyeka,Augsburg,de Bundesliga,MF,Defensive Midfielder,57.9,2586,28.7
Jordan Teze,Monaco,fr Ligue 1,DF,Fullback / Wing-back,57.9,569,6.3
James Justin,Leicester City,eng Premier League,DF,Defensive Midfielder,57.9,2912,32.4
Eddie Nketiah,Crystal Palace,eng Premier League,FW,Clinical Striker,57.8,1034,11.5
Ange-Yoan Bonny,Parma,it Serie A,FW,Wide Midfielder / Winger,57.8,2529,28.1
Jesus Rodríguez,Betis,es La Liga,FW,Wide Midfielder / Winger,57.8,1111,12.3
John Joe,Reims,fr Ligue 1,MF,Defensive Midfielder,57.7,545,6.1
Vitaly Janelt,Brentford,eng Premier League,MF,Defensive Midfielder,57.7,2254,25.0
Lorenz Assignon,Rennes,fr Ligue 1,DF,Fullback / Wing-back,57.6,2357,26.2
Levi Colwill,Chelsea,eng Premier League,DF,Defensive Centre-back,57.6,3149,35.0
Joe Aribo,Southampton,eng Premier League,MF,Ball-winning Midfielder,57.6,2013,22.4
Keita Baldé,Monza,it Serie A,FW,Wide Midfielder / Winger,57.6,638,7.1
Konrad Laimer,Bayern Munich,de Bundesliga,DF,Box-to-box Midfielder,57.5,1699,18.9
Yacine Adli,Fiorentina,it Serie A,MF,Box-to-box Midfielder,57.5,1219,13.5
Alex Král,Espanyol,es La Liga,MF,Defensive Midfielder,57.5,2714,30.2
Arouna Sangante,Le Havre,fr Ligue 1,DF,Ball-playing Centre-back,57.5,1244,13.8
Dean Huijsen,Bournemouth,eng Premier League,DF,Ball-playing Centre-back,57.5,2427,27.0
Leandro Trossard,Arsenal,eng Premier League,FW,Wide Midfielder / Winger,57.4,2546,28.3
Gonçalo Guedes,Wolves,eng Premier League,MF,Wide Midfielder / Winger,57.4,995,11.1
Gabriele Zappa,Cagliari,it Serie A,DF,Defensive Midfielder,57.4,3060,34.0
Mikel Oyarzabal,Real Sociedad,es La Liga,FW,Target Man / Physical Striker,57.4,2250,25.0
Sergi Cardona,Villarreal,es La Liga,DF,Fullback / Wing-back,57.4,2945,32.7
Johan Manzambi,Freiburg,de Bundesliga,FW,Clinical Striker,57.3,335,3.7
Maxence Caqueret,Como,it Serie A,MF,Box-to-box Midfielder,57.3,1087,12.1
Ernest Nuamah,Lyon,fr Ligue 1,FW,Wide Midfielder / Winger,57.3,1052,11.7
Rúben Dias,Manchester City,eng Premier League,DF,Defensive Centre-back,57.2,2271,25.2
Alexis Claude-Maurice,Augsburg,de Bundesliga,MF,Wide Midfielder / Winger,57.2,2109,23.4
Mario Lemina,Wolves,eng Premier League,MF,Ball-winning Midfielder,57.2,1364,15.2
Mathieu Cafaro,Saint-Étienne,fr Ligue 1,MF,Wide Midfielder / Winger,57.1,732,8.1
Alejandro Balde,Barcelona,es La Liga,DF,Fullback / Wing-back,57.1,2284,25.4
Sergio Camello,Rayo Vallecano,es La Liga,FW,Target Man / Physical Striker,56.9,1134,12.6
Cole Palmer,Chelsea,eng Premier League,MF,Creative Attacking Midfielder,56.9,3191,35.5
Cedric Zesiger,Augsburg,de Bundesliga,DF,Defensive Centre-back,56.9,1221,13.6
Matty Cash,Aston Villa,eng Premier League,DF,Defensive Midfielder,56.9,2070,23.0
Theo Hernández,Milan,it Serie A,DF,Box-to-box Midfielder,56.9,2696,30.0
Mouctar Diakhaby,Valencia,es La Liga,DF,Ball-playing Centre-back,56.9,653,7.3
András Schäfer,Union Berlin,de Bundesliga,MF,Defensive Midfielder,56.8,1534,17.0
Diego Moreira,Strasbourg,fr Ligue 1,DF,Fullback / Wing-back,56.8,2568,28.5
Taylor Harwood-Bellis,Southampton,eng Premier League,DF,Defensive Centre-back,56.8,2825,31.4
Téji Savanier,Montpellier,fr Ligue 1,MF,Box-to-box Midfielder,56.8,2363,26.3
Darko Lazović,Hellas Verona,it Serie A,DF,Fullback / Wing-back,56.8,1459,16.2
Amadou Onana,Aston Villa,eng Premier League,MF,Ball-winning Midfielder,56.7,1617,18.0
Sergio Gómez,Real Sociedad,es La Liga,MF,Box-to-box Midfielder,56.7,2738,30.4
Ross Stewart,Southampton,eng Premier League,FW,Target Man / Physical Striker,56.7,389,4.3
Kelvin Amian,Nantes,fr Ligue 1,DF,Defensive Midfielder,56.6,2165,24.1
Álvaro Aguado,Espanyol,es La Liga,MF,Box-to-box Midfielder,56.6,443,4.9
Zuriko Davitashvili,Saint-Étienne,fr Ligue 1,FW,Wide Midfielder / Winger,56.5,2778,30.9
Ibrahim Mbaye,Paris S-G,fr Ligue 1,FW,Creative Attacking Midfielder,56.4,340,3.8
Oihan Sancet,Athletic Club,es La Liga,MF,Clinical Striker,56.4,1620,18.0
Anthony Caci,Mainz 05,de Bundesliga,DF,Fullback / Wing-back,56.3,2684,29.8
Jhon Solis,Girona,es La Liga,MF,Ball-winning Midfielder,56.3,535,5.9
Maxence Lacroix,Crystal Palace,eng Premier League,DF,Defensive Centre-back,56.3,3116,34.6
Juan Bernat,Getafe,es La Liga,MF,Defensive Midfielder,56.3,699,7.8
Jacob Ondrejka,Parma,it Serie A,MF,Clinical Striker,56.3,422,4.7
Pedro,Lazio,it Serie A,FW,Creative Attacking Midfielder,56.2,1102,12.2
Mats Wieffer,Brighton,eng Premier League,DF,Ball-winning Midfielder,56.2,1015,11.3
Ayoze Pérez,Villarreal,es La Liga,FW,Clinical Striker,56.1,1970,21.9
Kristoffer Ajer,Brentford,eng Premier League,DF,Defensive Midfielder,56.1,1438,16.0
Morten Frendrup,Genoa,it Serie A,MF,Defensive Midfielder,56.1,3103,34.5
Hong Hyunseok,Mainz 05,de Bundesliga,MF,Box-to-box Midfielder,56.0,530,5.9
Manu Sánchez,Alavés,es La Liga,DF,Defensive Midfielder,56.0,2634,29.3
Brooke Norton-Cuffy,Genoa,it Serie A,DF,Defensive Midfielder,56.0,719,8.0
Kenny Tete,Fulham,eng Premier League,DF,Defensive Midfielder,56.0,1774,19.7
Mohammed Kudus,West Ham,eng Premier League,FW,Wide Midfielder / Winger,55.9,2590,28.8
Tiago Tomás,Wolfsburg,de Bundesliga,FW,Wide Midfielder / Winger,55.9,1884,20.9
Christopher Wooh,Rennes,fr Ligue 1,DF,Defensive Centre-back,55.9,1456,16.2
Vincent Sierro,Toulouse,fr Ligue 1,MF,Ball-winning Midfielder,55.8,2402,26.7
Nikolas Veratschnig,Mainz 05,de Bundesliga,DF,Fullback / Wing-back,55.8,364,4.0
Bryan Cristante,Roma,it Serie A,MF,Ball-winning Midfielder,55.8,2045,22.7
Nathan Broadhead,Ipswich Town,eng Premier League,MF,Wide Midfielder / Winger,55.7,702,7.8
Jon Rowe,Marseille,fr Ligue 1,FW,Creative Attacking Midfielder,55.7,807,9.0
Joaquín Correa,Inter,it Serie A,FW,Wide Midfielder / Winger,55.7,731,8.1
Exequiel Palacios,Leverkusen,de Bundesliga,MF,Box-to-box Midfielder,55.7,1155,12.8
Ian Maatsen,Aston Villa,eng Premier League,DF,Box-to-box Midfielder,55.6,1139,12.7
Bukayo Saka,Arsenal,eng Premier League,FW,Creative Attacking Midfielder,55.6,1729,19.2
Adam Armstrong,Southampton,eng Premier League,FW,Target Man / Physical Striker,55.6,1248,13.9
Marc Guéhi,Crystal Palace,eng Premier League,DF,Ball-playing Centre-back,55.5,3059,34.0
Joe Gomez,Liverpool,eng Premier League,DF,Defensive Centre-back,55.4,519,5.8
Matteo Gabbia,Milan,it Serie A,DF,Defensive Centre-back,55.4,2152,23.9
Paul Joly,Auxerre,fr Ligue 1,DF,Ball-winning Midfielder,55.4,1009,11.2
Patrick Osterhage,Freiburg,de Bundesliga,MF,Defensive Midfielder,55.4,2267,25.2
Thiago Almada,Lyon,fr Ligue 1,MF,Box-to-box Midfielder,55.4,951,10.6
Manu Koné,Roma,it Serie A,MF,Ball-winning Midfielder,55.3,2572,28.6
Mathis Amougou,Saint-Étienne,fr Ligue 1,MF,Defensive Midfielder,55.3,859,9.5
Jorge de Frutos,Rayo Vallecano,es La Liga,FW,Wide Midfielder / Winger,55.2,2495,27.7
Lutsharel Geertruida,RB Leipzig,de Bundesliga,DF,Ball-playing Centre-back,55.2,1557,17.3
Jens Cajuste,Ipswich Town,eng Premier League,MF,Defensive Midfielder,55.1,1959,21.8
Othmane Maamma,Montpellier,fr Ligue 1,FW,Wide Midfielder / Winger,55.1,361,4.0
Marvin Schulz,Holstein Kiel,de Bundesliga,MF,Defensive Midfielder,55.1,306,3.4
Florian Ayé,Auxerre,fr Ligue 1,FW,Target Man / Physical Striker,55.0,575,6.4
Ilias Akhomach,Villarreal,es La Liga,MF,Wide Midfielder / Winger,55.0,584,6.5
Mason Greenwood,Marseille,fr Ligue 1,FW,Creative Attacking Midfielder,55.0,2804,31.2
Murillo,Nott'ham Forest,eng Premier League,DF,Defensive Centre-back,54.8,3188,35.4
Gaetano Castrovilli,Monza,it Serie A,MF,Defensive Midfielder,54.8,596,6.6
Sergi Darder,Mallorca,es La Liga,MF,Box-to-box Midfielder,54.8,2744,30.5
Milan Badelj,Genoa,it Serie A,MF,Defensive Midfielder,54.8,1472,16.4
Musa Al-Taamari,Montpellier,fr Ligue 1,FW,Wide Midfielder / Winger,54.8,1116,12.4
Luis Díaz,Liverpool,eng Premier League,FW,Creative Attacking Midfielder,54.7,2399,26.7
Lukas Daschner,Bochum,de Bundesliga,MF,Target Man / Physical Striker,54.6,412,4.6
Davide Frattesi,Inter,it Serie A,MF,Target Man / Physical Striker,54.6,1158,12.9
Bahereba Guirassy,Nantes,fr Ligue 1,FW,Wide Midfielder / Winger,54.6,348,3.9
Ivan Ilić,Torino,it Serie A,MF,Box-to-box Midfielder,54.5,920,10.2
Marvin Ducksch,Werder Bremen,de Bundesliga,FW,Clinical Striker,54.5,2418,26.9
Jorge Herrando,Osasuna,es La Liga,DF,Defensive Centre-back,54.5,1366,15.2
Louis Mouton,Saint-Étienne,fr Ligue 1,MF,Ball-winning Midfielder,54.4,1045,11.6
Ruslan Malinovskyi,Genoa,it Serie A,MF,Box-to-box Midfielder,54.4,383,4.3
Lesley Ugochukwu,Southampton,eng Premier League,MF,Defensive Midfielder,54.4,1655,18.4
Himad Abdelli,Angers,fr Ligue 1,MF,Box-to-box Midfielder,54.4,2842,31.6
Serge Gnabry,Bayern Munich,de Bundesliga,FW,Creative Attacking Midfielder,54.3,1242,13.8
Elif Elmas,Torino,it Serie A,FW,Wide Midfielder / Winger,54.3,1021,11.3
Joris Chotard,Montpellier,fr Ligue 1,MF,Defensive Midfielder,54.3,1892,21.0
Pablo Durán,Celta Vigo,es La Liga,FW,Wide Midfielder / Winger,54.3,1394,15.5
Abel Ruiz,Girona,es La Liga,FW,Target Man / Physical Striker,54.3,1346,15.0
Yunus Musah,Milan,it Serie A,MF,Ball-winning Midfielder,54.3,1571,17.5
James Garner,Everton,eng Premier League,MF,Defensive Midfielder,54.2,1594,17.7
Piero Hincapié,Leverkusen,de Bundesliga,DF,Ball-playing Centre-back,54.1,2670,29.7
Seydouba Cissé,Leganés,es La Liga,MF,Ball-winning Midfielder,54.1,2435,27.1
Marvin Pieringer,Heidenheim,de Bundesliga,FW,Target Man / Physical Striker,54.1,2206,24.5
Albert Grønbaek,Rennes,fr Ligue 1,MF,Wide Midfielder / Winger,54.1,813,9.0
Marcus Thuram,Inter,it Serie A,FW,Clinical Striker,54.0,2200,24.4
Daniel Vivian,Athletic Club,es La Liga,DF,Ball-playing Centre-back,54.0,2608,29.0
Bryan Gil,Girona,es La Liga,FW,Wide Midfielder / Winger,54.0,1721,19.1
Carles Aleñá,Alavés,es La Liga,MF,Box-to-box Midfielder,53.9,1090,12.1
Alejandro Jiménez,Milan,it Serie A,DF,Fullback / Wing-back,53.9,1266,14.1
Fabián Ruiz Peña,Paris S-G,fr Ligue 1,MF,Box-to-box Midfielder,53.9,1923,21.4
Mikel Jauregizar,Athletic Club,es La Liga,MF,Ball-winning Midfielder,53.9,2244,24.9
Kelechi Iheanacho,Sevilla,es La Liga,FW,Target Man / Physical Striker,53.8,400,4.4
João Palhinha,Bayern Munich,de Bundesliga,MF,Ball-winning Midfielder,53.7,673,7.5
Isaac Romero,Sevilla,es La Liga,FW,Target Man / Physical Striker,53.7,2156,24.0
Arnaud Nordin,Montpellier,fr Ligue 1,FW,Wide Midfielder / Winger,53.7,1166,13.0
Ainsley Maitland-Niles,Lyon,fr Ligue 1,DF,Ball-winning Midfielder,53.7,1985,22.1
Marcus Rashford,Manchester Utd,eng Premier League,FW,Wide Midfielder / Winger,53.7,978,10.9
Adam Masina,Torino,it Serie A,DF,Defensive Centre-back,53.6,1919,21.3
Adrien Thomasson,Lens,fr Ligue 1,MF,Box-to-box Midfielder,53.6,2615,29.1
Joshua Zirkzee,Manchester Utd,eng Premier League,FW,Target Man / Physical Striker,53.6,1402,15.6
Johnny Cardoso,Betis,es La Liga,MF,Ball-winning Midfielder,53.6,2144,23.8
Matt Doherty,Wolves,eng Premier League,DF,Ball-playing Centre-back,53.6,2109,23.4
Joan García,Espanyol,es La Liga,GK,Goalkeeper,53.5,3420,38.0
Jens Odgaard,Bologna,it Serie A,MF,Target Man / Physical Striker,53.4,1952,21.7
Eric García,Barcelona,es La Liga,DF,Ball-winning Midfielder,53.4,1566,17.4
Trevoh Chalobah,Crystal Palace,eng Premier League,DF,Ball-playing Centre-back,53.4,1060,11.8
Youssef Maleh,Empoli,it Serie A,MF,Defensive Midfielder,53.3,1510,16.8
David Costa,Lens,fr Ligue 1,MF,Wide Midfielder / Winger,53.3,352,3.9
Robin Hack,Gladbach,de Bundesliga,FW,Wide Midfielder / Winger,53.2,2172,24.1
Yussuf Poulsen,RB Leipzig,de Bundesliga,FW,Clinical Striker,53.2,378,4.2
Iker Losada,Celta Vigo,es La Liga,FW,Wide Midfielder / Winger,53.1,358,4.0
Vinicius Júnior,Real Madrid,es La Liga,FW,Creative Attacking Midfielder,53.1,2253,25.0
Joan Jordán,Alavés,es La Liga,MF,Box-to-box Midfielder,53.0,1414,15.7
Fabiano Parisi,Fiorentina,it Serie A,DF,Ball-winning Midfielder,53.0,1049,11.7
Alberto costa,Juventus,it Serie A,DF,Ball-winning Midfielder,53.0,357,4.0
Alessandro Buongiorno,Napoli,it Serie A,DF,Defensive Centre-back,52.9,1924,21.4
Bruno Guimarães,Newcastle Utd,eng Premier League,MF,Box-to-box Midfielder,52.9,3271,36.3
Mario Gila,Lazio,it Serie A,DF,Defensive Centre-back,52.9,2741,30.5
Junior Adamu,Freiburg,de Bundesliga,FW,Target Man / Physical Striker,52.8,1545,17.2
Lilian Brassier,Rennes,fr Ligue 1,DF,Ball-playing Centre-back,52.8,1234,13.7
Noni Madueke,Chelsea,eng Premier League,FW,Creative Attacking Midfielder,52.8,2033,22.6
Yeray Álvarez,Athletic Club,es La Liga,DF,Defensive Centre-back,52.8,1781,19.8
Bilal El Khannouss,Leicester City,eng Premier League,MF,Box-to-box Midfielder,52.8,2182,24.2
Nuno Tavares,Lazio,it Serie A,DF,Fullback / Wing-back,52.7,1686,18.7
Nathaniel Brown,Eint Frankfurt,de Bundesliga,DF,Fullback / Wing-back,52.7,1947,21.6
Melvin Bard,Nice,fr Ligue 1,DF,Ball-winning Midfielder,52.7,1938,21.5
Andrea Colpani,Fiorentina,it Serie A,FW,Wide Midfielder / Winger,52.7,1432,15.9
Catena,Osasuna,es La Liga,DF,Defensive Centre-back,52.7,3074,34.2
Mateo Kovačić,Manchester City,eng Premier League,MF,Box-to-box Midfielder,52.7,2198,24.4
Edoardo Goldaniga,Como,it Serie A,DF,Defensive Centre-back,52.6,2532,28.1
Anton Stach,Hoffenheim,de Bundesliga,MF,Ball-winning Midfielder,52.6,2585,28.7
Shavy Babicka,Toulouse,fr Ligue 1,MF,Wide Midfielder / Winger,52.5,1186,13.2
Alfred Duncan,Venezia,it Serie A,MF,Ball-winning Midfielder,52.4,957,10.6
Pierre Lees-Melou,Brest,fr Ligue 1,MF,Ball-winning Midfielder,52.4,1526,17.0
Joakim Mæhle,Wolfsburg,de Bundesliga,DF,Fullback / Wing-back,52.4,2188,24.3
Giovanni Fabbian,Bologna,it Serie A,MF,Target Man / Physical Striker,52.4,1023,11.4
Michel Ndary Adopo,Cagliari,it Serie A,MF,Defensive Midfielder,52.3,2409,26.8
Nélson Semedo,Wolves,eng Premier League,DF,Defensive Midfielder,52.3,2886,32.1
Peter González,Getafe,es La Liga,MF,Wide Midfielder / Winger,52.2,477,5.3
Yannick Gerhardt,Wolfsburg,de Bundesliga,MF,Defensive Midfielder,52.2,1518,16.9
Adam Dźwigała,St. Pauli,de Bundesliga,DF,Defensive Centre-back,52.2,373,4.1
Jaka Bijol,Udinese,it Serie A,DF,Defensive Centre-back,52.2,2963,32.9
Patrick Mainka,Heidenheim,de Bundesliga,DF,Defensive Centre-back,52.2,3060,34.0
Nicolas Cozza,Nantes,fr Ligue 1,DF,Defensive Midfielder,52.1,2051,22.8
Khéphren Thuram,Juventus,it Serie A,MF,Box-to-box Midfielder,52.0,2326,25.8
Amir Richardson,Fiorentina,it Serie A,MF,Ball-winning Midfielder,52.0,1024,11.4
Anthony Elanga,Nott'ham Forest,eng Premier League,FW,Wide Midfielder / Winger,51.9,2501,27.8
Antonio Sánchez,Mallorca,es La Liga,MF,Defensive Midfielder,51.9,1395,15.5
Liam Henderson,Empoli,it Serie A,MF,Defensive Midfielder,51.9,2337,26.0
Antonio Rüdiger,Real Madrid,es La Liga,DF,Defensive Centre-back,51.9,2291,25.5
Jordan Veretout,Lyon,fr Ligue 1,MF,Ball-winning Midfielder,51.9,1553,17.3
Marius Bülter,Hoffenheim,de Bundesliga,FW,Wide Midfielder / Winger,51.8,1729,19.2
Can Uzun,Eint Frankfurt,de Bundesliga,MF,Creative Attacking Midfielder,51.8,675,7.5
Jaden Philogene Bidace,Ipswich Town,eng Premier League,FW,Wide Midfielder / Winger,51.7,474,5.3
Rabby Nzingoula,Montpellier,fr Ligue 1,MF,Ball-winning Midfielder,51.7,1689,18.8
Alexis Mac Allister,Liverpool,eng Premier League,MF,Box-to-box Midfielder,51.7,2599,28.9
Yassin Belkhdim,Angers,fr Ligue 1,MF,Defensive Midfielder,51.7,1523,16.9
Javi Puado,Espanyol,es La Liga,FW,Target Man / Physical Striker,51.6,2974,33.0
Jota,Rennes,fr Ligue 1,FW,Wide Midfielder / Winger,51.6,334,3.7
Finn Porath,Holstein Kiel,de Bundesliga,DF,Fullback / Wing-back,51.6,1970,21.9
Jon Martin,Real Sociedad,es La Liga,DF,Defensive Centre-back,51.6,904,10.0
Khalil Fayad,Montpellier,fr Ligue 1,MF,Ball-winning Midfielder,51.5,1028,11.4
Abdoulaye Niakhate Ndiaye,Brest,fr Ligue 1,DF,Defensive Centre-back,51.5,1707,19.0
Mathys Tel,Tottenham,eng Premier League,FW,Wide Midfielder / Winger,51.5,911,10.1
Waren Kamanzi,Toulouse,fr Ligue 1,DF,Ball-winning Midfielder,51.5,1022,11.4
César Azpilicueta,Atlético Madrid,es La Liga,DF,Ball-playing Centre-back,51.4,875,9.7
Declan Rice,Arsenal,eng Premier League,MF,Box-to-box Midfielder,51.4,2825,31.4
