name,team,league,position,role,overall,minutes,90s
Dilane Bakwa,Strasbourg,fr Ligue 1,MF,Creative Attacking Midfielder,27.4,2497,27.7
Kyle Walker-Peters,Southampton,eng Premier League,DF,Ball-winning Midfielder,27.4,2918,32.4
Gianluca Busio,Venezia,it Serie A,MF,Defensive Midfielder,27.4,2518,28.0
Moïse Bombito,Nice,fr Ligue 1,DF,Defensive Centre-back,27.4,2192,24.4
Jean-Philippe Mateta,Crystal Palace,eng Premier League,FW,Clinical Striker,27.3,2648,29.4
Angelo Fulgini,Lens,fr Ligue 1,MF,Creative Attacking Midfielder,27.2,1045,11.6
László Bénes,Union Berlin,de Bundesliga,MF,Creative Attacking Midfielder,27.2,589,6.5
Lee Jae-sung,Mainz 05,de Bundesliga,MF,Wide Midfielder / Winger,27.2,2650,29.4
Mohamed Ali Cho,Nice,fr Ligue 1,FW,Creative Attacking Midfielder,27.1,1621,18.0
Elye Wahi,Marseille,fr Ligue 1,FW,Clinical Striker,27.1,574,6.4
Lewis Ferguson,Bologna,it Serie A,MF,Ball-winning Midfielder,27.0,983,10.9
Clément Akpa,Auxerre,fr Ligue 1,DF,Defensive Centre-back,26.9,2486,27.6
Amath,Valladolid,es La Liga,FW,Wide Midfielder / Winger,26.9,375,4.2
Luca Kerber,Heidenheim,de Bundesliga,MF,Defensive Midfielder,26.9,783,8.7
Copete,Mallorca,es La Liga,DF,Defensive Centre-back,26.9,1528,17.0
Jeremy Doku,Manchester City,eng Premier League,FW,Creative Attacking Midfielder,26.9,1516,16.8
Jesper Lindstrøm,Everton,eng Premier League,FW,Wide Midfielder / Winger,26.9,1239,13.8
George Ilenikhena,Monaco,fr Ligue 1,FW,Clinical Striker,26.8,717,8.0
Dennis Geiger,Hoffenheim,de Bundesliga,MF,Ball-winning Midfielder,26.8,734,8.2
Etienne Youte Kinkoue,Le Havre,fr Ligue 1,DF,Defensive Centre-back,26.8,2320,25.8
Antoine Mendy,Nice,fr Ligue 1,DF,Ball-winning Midfielder,26.7,825,9.2
Jarrad Branthwaite,Everton,eng Premier League,DF,Defensive Centre-back,26.7,2511,27.9
Francisco Conceição,Juventus,it Serie A,FW,Creative Attacking Midfielder,26.7,1340,14.9
Jackson Irvine,St. Pauli,de Bundesliga,MF,Defensive Midfielder,26.6,2610,29.0
Zinedine Ferhat,Angers,fr Ligue 1,FW,Wide Midfielder / Winger,26.5,849,9.4
Azor Matusiwa,Rennes,fr Ligue 1,MF,Ball-winning Midfielder,26.5,2078,23.1
Jon Aramburu,Real Sociedad,es La Liga,DF,Ball-winning Midfielder,26.4,2460,27.3
Patrick Dorgu,Lecce,it Serie A,DF,Fullback / Wing-back,26.3,1840,20.4
Morten Thorsby,Genoa,it Serie A,MF,Defensive Midfielder,26.2,1898,21.1
Jacob Murphy,Newcastle Utd,eng Premier League,FW,Creative Attacking Midfielder,26.2,2360,26.2
Caleb Ekuban,Genoa,it Serie A,FW,Clinical Striker,26.1,555,6.2
Ángel Ortíz,Betis,es La Liga,DF,Ball-winning Midfielder,26.1,353,3.9
Abderrahman Rebbach,Alavés,es La Liga,FW,Wide Midfielder / Winger,26.1,385,4.3
Mattia Felici,Cagliari,it Serie A,MF,Wide Midfielder / Winger,26.1,925,10.3
Noah Weißhaupt,St. Pauli,de Bundesliga,FW,Wide Midfielder / Winger,26.0,1160,12.9
